Index,X,Y,Z
538,-0.036789,-0.514954,-1.008133
539,0.00676,-0.510925,-0.719711
540,0.013504,-0.435272,-0.616074
541,0.010773,-0.291489,-0.94606
542,-0.007599,-0.179108,-1.008774
543,0.022781,-0.398819,-0.943314
544,0.020447,-0.405655,-0.950027
545,0.112106,-0.365494,-0.892578
546,0.168396,-0.475403,-0.891891
547,0.123779,-0.445404,-0.846786
548,0.117157,-0.442871,-0.886246
549,0.078781,-0.404556,-0.926376
550,0.045303,-0.382446,-0.922852
551,0.043823,-0.389465,-0.919327
552,0.049789,-0.388824,-0.934067
553,0.065369,-0.424042,-0.96376
554,0.053696,-0.397232,-0.927505
555,0.015915,-0.415573,-0.878464
556,0.006378,-0.399414,-0.886536
557,0.045807,-0.41243,-0.855591
558,0.069229,-0.432648,-0.913162
559,0.066055,-0.421585,-0.872162
560,0.059143,-0.494461,-0.908005
561,0.065414,-0.481949,-0.857468
562,0.072327,-0.494919,-0.872955
563,0.060974,-0.505432,-0.914917
564,0.053482,-0.484497,-0.86908
565,0.051407,-0.405869,-0.841125
566,0.062637,-0.337631,-0.860306
567,0.046158,-0.429138,-0.930115
568,0.028107,-0.425995,-0.927078
569,0.013992,-0.387421,-0.90036
570,0.020981,-0.327515,-0.864899
571,0.025162,-0.361298,-0.887024
572,0.02684,-0.3396,-0.910095
573,0.040024,-0.318405,-0.93515
574,0.051758,-0.359177,-0.877502
575,0.044357,-0.350449,-0.95842
576,0.021088,-0.391312,-0.940079
577,0.001175,-0.434586,-0.904785
578,0.000534,-0.381897,-0.920883
579,-0.000381,-0.247025,-0.904816
580,-0.00235,-0.305817,-0.920502
581,0.056549,-0.299866,-0.853226
582,0.022156,-0.345108,-1.059875
583,0.067276,-0.276642,-0.931274
584,0.092972,-0.403961,-0.852264
585,0.100555,-0.365509,-0.795364
586,0.083328,-0.359863,-0.968384
587,0.03653,-0.386368,-1.016556
588,-0.004379,-0.473846,-1.208557
589,0.051437,-0.485352,-1.204086
590,0.014465,-0.365967,-0.894104
591,-0.052689,-0.183334,-0.986603
592,0.077942,-0.256973,-0.872131
593,0.139084,-0.409821,-0.872986
594,0.082397,-0.316681,-0.847824
595,0.091431,-0.354935,-0.978531
596,0.10733,-0.387512,-0.946045
597,0.147278,-0.432755,-1.032623
598,0.147232,-0.394302,-1.0327
599,0.123962,-0.412064,-1.013687
600,0.056976,-0.39949,-1.123901
601,0.099792,-0.333649,-0.947113
602,0.126984,-0.234283,-0.716385
603,0.123428,-0.307495,-0.76091
604,0.099304,-0.522995,-1.111954
605,0.019699,-0.463379,-0.916229
606,0.000412,-0.396606,-1.130615
607,0.048386,-0.334518,-0.980621
